Positive,Negative
"Western blot assay showed that ectopic expression of miR-483-3p in ESCC cells could downregulate the protein level of etoposide induced 2.4 (EI24), which is a tumor suppressor and has not been reported in ESCC.","Altogether, our results suggest that RIP1 contributes to cisplatin resistance by suppressing JNK activation that involves releasing miR-940-mediated inhibition of MKP1 and suppressing activation of MKK4."
Luciferase reporter assay demonstrated that EI24 was a direct target of miR-483-3p.,"Paired-box transcription factor Pax7 plays a central role in satellite cell survival, self-renewal, and proliferation."
The results illustrated miR-200a and miR-141 could inhibit the expression of Hlxb9 by binding to its mRNA 30UTR.,MiR-29c overexpression increased TMZ efficacy in cultured glioma cells and in mouse xenograft models.
"Furthermore, SRCIN1 was confirmed as the direct target of miR-873 by luciferase reporter assay and Western blotting.",Whole transcriptome and miRNA expression profiling analyses on human GBM patient tissues identified miR-138 as one of the significantly downregulated miRNAs with an inverse correlation with CD44 expression.
"Here, we validated SCD-1 as the target of miR-125b using a dual luciferase assay.","We show that combined Aza/GF incubation can increase expression of miR-218, miR-150, and miR-451."
These results suggested that human CYP24 is regulated by miR-125b.,"Surprisingly, Dnmt1(N/+) mice were less susceptible to alcoholic steatosis compared to Dnmt1(+/+) mice."
We investigated whether CYP24 is regulated by miR-125b.,"We evaluated how exosomes derived from osteoblastic, osteoclastic, and mixed PCa cell lines affect osteoblast and osteoclast differentiation, revealing that all three types of PCa exosomes promoted osteoclastogenesis in vitro and induced osteolysis in vivo."
We identified plasminogen activator inhibitor-1 (PAI-1) as a direct target gene of miR-143.,miR-34a expression inhibited c-Met reporter activities in glioma and medulloblastoma cells and Notch-1 and Notch-2 3'-untranslated region reporter activities in glioma cells and stem cells.
The UHRF1 was chosen as a potential target of miR- 124 by analysis of bioinformatics prediction algorithms of TargetScan and miRanda.,"Moreover we show that Dicer, one of the key enzymes in the production of microRNAs, is strongly up-regulated in ND7 cells subjected to differentiation."
Luciferase constructs of wild type or mutant UHRF1 were transfected into HEK-293 cells with miR-124 Western blot was used to detect the UHRF1 protein level in T24 cells and J82 cells over-expressing miR-124,We further investigated the molecular mechanisms of miR-154 and Wnt5a in glioblastoma cell lines.
Relative luciferase activities were studied in PCa cells Decrease in BCOX1-35 protein by miR-195 was studied using western blots,"Combining miR-34a transfection with 5-fluorouracil (5-FU) treatment further enhanced the inhibition in SW480 cell migration and invasion (both, p<0.05) compared to 5-FU treatment alone."
"To investigate the targeting molecules of miR-205 that involved in the modulation of G2/M cell cycle, the targets of miR-205 were searched using TargetScan  the transcriptional activity was examined using luciferase reporter assay.",There was no significant difference of overall survival between high and low IGF-1R expression groups.
"Western blot analysis showing the protein levels of CCNJ in T24 cells transfected with Scramble (Scr), miR-205 mimics (Mimics) and wild-type (WT) cells (Con).","Using SILAC, we identified 46 putative miR-155 target proteins, some of which were previously reported."
Here we show that the EBV-encoded miRNA miR-BART2 down-regulates the viral DNA polymerase BALF5.,"Knocking down the expression of FSCN1 led to the suppression of migration and invasion in gastric cancer cells, and re-expressing FSCN1 in miR-145-overexpressing cells reversed their migration and invasion defects."
"Taken together, our findings suggest that miR-613 functions as a candidate tumor suppressor miRNA in ovarian cancer by directly targeting KRAS.","Using an integrated approach, we uncovered that PH domain and leucine-rich repeat protein phosphatase (PHLPP) was a novel target of miR-331-3p."
"To the best of our knowledge, this is the first study to show that miR-613 affects the proliferation and invasion of ovarian cancer.","In conclusion, miR-10b regulates the self-renewal of the breast CSC phenotype by inhibiting PTEN and maintaining AKT pathway activation."
"Thus, we next used three bioinformatics tools (TargetScan, miRANDA, RNA22-HSA) to search whether NKD1 is one of putative targets of miR-744.","In situ hybridization of human lymph node sections revealed that miR-1293 is primarily expressed in the germinal centre but is deficient in the mantle zone of lymph nodes, where the expression of vIL-6 is often found in patients with KSHV-associated multicentric Castleman's disease, providing evidence of an anatomical correlation."
"our data suggest that suppression of miR-4262 in OS cells may promote OPN-mediated cancer invasion, highlighting miR-4262 as an intriguing therapeutic target to prevent OS metastases.","EBV encodes 44 mature micro RNAs (miRNAs), but the roles of only a few EBV-encoded miRNA targets are known in cancer development, and here, our aim was to elucidate the effects of EBV-miR-BART11 on FOXP1 expression, and potential involvement in inflammation-induced carcinogenesis."
"Taken together, we propose that miR-126 regulates PI3K signaling partly by targeting p85beta, and that the loss of miR-126 may provide a selective growth advantage during colon carcinogenesis.","By miRNA microarray, iR-17-5p was the most downregulated of all those in HTB-111 and Ishikawa cells after bortezomib treatment."
"MiR-34 inhibition of SIRT1 leads to an increase in acetylated p53 and expression of p21 and PUMA, transcriptional targets of p53 that regulate the cell cycle and apoptosis, respectively.","In addition, the absence of MiR-223 leads to contextual, but not cued memory deficits and increased neuronal cell death following transient global ischemia and excitotoxicity."
Expression of miR-BART2 down-regulates the activity of a luciferase reporter gene containing the BALF5 3'UTR.,"Consistently, knocking down Beclin 1 significantly decreased HCPT-triggered autophagy and apoptosis, and increased the viability of HTFs treated with HCPT, thus implicating that Beclin 1 functions as a pro-apoptotic molecule in this circumstance."
Effect of miR-32 on PTEN expression by luciferase reporter assay.,"However, in the later stages of MC3T3-E1 development, the differentiation rates were opposite, with higher rates of differentiation and nodule formation in the cells over-expressing the 3'UTR of nephronectin."
"miR-32 reducedPTEN expression in MVSMCs, which was detected by western blot",We elucidated the biological and clinical significance of miR-214 downregulation in HCC.
"Collectively, our findings identify miR-382 as a promoter for hepatocyte proliferation and cell growth via targeting PTEN-Akt axis which might be a novel therapeutic target to enhance liver regeneration capability.","Based on luciferase assay, ABL and BCR-ABL are shown to be the target genes regulated by miR-138."
our study indicates that miR-122 may downregulate cytokine production in HSCs and macrophage chemotaxis and that the targeting of miR-122 may have therapeutic potential for preventing the progression of liver diseases.,RNA extracts from retrieved tumors were analyzed for miR-221 levels and modulation of canonical targets expression.
"In the present study, we performed matched analyses of miR-21 and PTEN mRNA and protein expression in cervical tissue obtained from the K14E7 mouse model in the presence or absence of E2 as well as from the Saos-2 cell line expressing E7",Our results will help designing new therapeutic strategies to inhibit this novel pathway in NSCLC.
Luciferase activity indicated that RAB11FIP1 was a direct target for miR-93.,The involvement of miR-335 in csolorectal cancer (CRC) development remains controversial.
miR-375 exhibits a more effective tumor-suppressor function in laryngeal squamous carcinoma cells by regulating KLF4 expression.,"Among the miRNAs that induced growth arrest and apoptosis in the CRC cell lines, and at same time were dys-regulated in the clinical samples, miR-375 was selected for further analysis."
"pathway analysis predicted that KLF4 is a target of miR-206, which was further supported by sequence complementarity alignment, and miR-375 directly inhibits the expression of KLF4 by targeting its 3' untranslated region.","Moreover, PIM-1 overexpression led to significant abrogation of miR33b- or MLN2238-induced cell death."
"Further characterization of microRNA-224 (miR-224), the most significantly up-regulated miRNA in HCC patients, revealed that miR-224 increases apoptotic cell death as well as proliferation and targets apoptosis inhibitor-5 (API-5) to inhibit API-5 transcript expression.","Here, we found that miR-335 was highly up-regulated in CRC specimens relative to normal mucosa, and high miR-335 expression level was markedly associated with the tumour size and differentiation of CRC."
Rictor is a target of miR-153 in glioma cells.,Overexpression of miR-148a significantly promoted myogenic differentiation of both C2C12 myoblast and primary muscle cells.
These results indicated that miR-153 downregulation could be the reason of Rictor upregulation and mTORC2 over-activation in glioma cells.,Computational predictions suggest several high-ranking targets for microRNA-92 including the KCC2 gene.
